Codigo Geografico;REGION;PROVINCIA;DISTRITO;Cobertura Estudiantes;Medida Promedio Comprension Lectora;Medida Promedio Matematica;Lect_Previo al Inicio;Lect_En inicio;Lect_En proceso;Lect_Satisfactorio;Mat_Previo al Inicio;Mat_En inicio;Mat_En proceso;Mat_Satisfactorio
010101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;97.5;528.0;526.0;3.7;13.4;28.0;54.9;2.1;10.0;38.1;49.9
010103;AMAZONAS;CHACHAPOYAS;BALSAS;100.0;537.0;527.0;4.6;9.1;13.6;72.7;5.0;9.0;36.0;50.0
010104;AMAZONAS;CHACHAPOYAS;CHETO;100.0;537.0;528.0;0.0;12.5;37.5;50.0;0.0;0.0;50.0;50.0
010106;AMAZONAS;CHACHAPOYAS;CHUQUIBAMBA;100.0;437.0;445.0;15.4;27.0;46.1;11.5;3.9;30.8;57.7;7.7
010107;AMAZONAS;CHACHAPOYAS;GRANADA;100.0;528.0;523.0;0.0;27.3;27.3;45.5;0.0;18.2;36.4;45.5
010109;AMAZONAS;CHACHAPOYAS;LA JALCA;98.5;443.0;455.0;13.7;40.9;26.5;18.9;6.9;28.9;43.9;20.3
010110;AMAZONAS;CHACHAPOYAS;LEIMEBAMBA;98.7;478.0;481.0;13.5;18.8;29.9;37.8;9.4;15.0;39.2;36.4
010111;AMAZONAS;CHACHAPOYAS;LEVANTO;100.0;564.0;586.0;0.0;0.0;30.8;69.2;0.0;0.0;15.4;84.6
010112;AMAZONAS;CHACHAPOYAS;MAGDALENA;100.0;467.0;463.0;12.5;25.0;31.3;31.3;12.5;18.8;43.8;25.0
010113;AMAZONAS;CHACHAPOYAS;MARISCAL CASTILLA;100.0;462.0;458.0;0.0;40.0;40.0;20.0;0.0;20.0;80.0;0.0
010114;AMAZONAS;CHACHAPOYAS;MOLINOPAMPA;100.0;517.0;504.0;2.8;11.1;44.4;41.7;0.0;16.7;50.0;33.3
010115;AMAZONAS;CHACHAPOYAS;MONTEVIDEO;100.0;438.0;458.0;14.3;28.6;28.6;28.6;14.3;14.3;28.6;42.9
010116;AMAZONAS;CHACHAPOYAS;OLLEROS;100.0;484.0;459.0;0.0;40.0;40.0;20.0;0.0;20.0;80.0;0.0
010119;AMAZONAS;CHACHAPOYAS;SAN ISIDRO DE MAINO;100.0;454.0;432.0;12.5;12.5;75.0;0.0;0.0;50.0;50.0;0.0
010120;AMAZONAS;CHACHAPOYAS;SOLOCO;100.0;426.0;477.0;0.0;83.3;16.7;0.0;0.0;16.7;66.7;16.7
010201;AMAZONAS;BAGUA;BAGUA;98.3;468.0;459.0;12.1;25.5;35.8;26.6;10.9;24.9;43.7;20.5
010202;AMAZONAS;BAGUA;ARAMANGO;95.9;452.0;450.0;16.1;29.1;31.6;23.2;14.4;28.3;38.8;18.4
010203;AMAZONAS;BAGUA;COPALLIN;100.0;449.0;452.0;8.5;42.6;34.0;14.9;10.7;31.9;42.5;14.9
010204;AMAZONAS;BAGUA;EL PARCO;100.0;454.0;458.0;10.0;40.0;10.0;40.0;0.0;30.0;60.0;10.0
010205;AMAZONAS;BAGUA;IMAZA;88.2;;;;;;;;;;
010206;AMAZONAS;BAGUA;LA PECA;93.4;454.0;454.0;12.9;28.7;38.0;20.4;13.1;24.7;41.3;20.9
010301;AMAZONAS;BONGARÁ;JUMBILLA;100.0;512.0;504.0;7.7;19.2;19.2;53.8;7.7;7.7;38.5;46.2
010303;AMAZONAS;BONGARÁ;CHURUJA;100.0;496.0;453.0;0.0;0.0;75.0;25.0;0.0;50.0;25.0;25.0
010304;AMAZONAS;BONGARÁ;COROSHA;100.0;351.0;375.0;80.0;0.0;20.0;0.0;40.0;40.0;20.0;0.0
010305;AMAZONAS;BONGARÁ;CUISPES;90.9;448.0;425.0;20.5;29.5;29.5;20.5;11.6;47.3;20.5;20.5
010306;AMAZONAS;BONGARÁ;FLORIDA;100.0;481.0;495.0;7.4;23.5;39.0;30.1;2.9;22.1;41.9;33.1
010307;AMAZONAS;BONGARÁ;JAZAN;97.8;499.0;499.0;2.3;27.7;28.4;41.6;2.2;12.0;48.5;37.2
010310;AMAZONAS;BONGARÁ;SHIPASBAMBA;100.0;542.0;571.0;0.0;5.6;16.7;77.8;0.0;0.0;22.2;77.8
010312;AMAZONAS;BONGARÁ;YAMBRASBAMBA;97.9;481.0;496.0;10.3;29.3;25.6;34.8;10.4;12.8;35.3;41.6
010401;AMAZONAS;CONDORCANQUI;NIEVA;86.6;;;;;;;;;;
010402;AMAZONAS;CONDORCANQUI;EL CENEPA;83.3;301.0;284.0;100.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0
010403;AMAZONAS;CONDORCANQUI;RIO SANTIAGO;92.6;327.0;299.0;77.7;11.1;7.4;3.7;85.1;7.4;7.4;0.0
010501;AMAZONAS;LUYA;LAMUD;100.0;517.0;530.0;0.0;17.5;42.5;40.0;2.5;2.5;52.5;42.5
010502;AMAZONAS;LUYA;CAMPORREDONDO;95.8;453.0;458.0;10.8;40.4;27.1;21.7;8.3;26.0;50.9;14.8
010503;AMAZONAS;LUYA;COCABAMBA;100.0;444.0;458.0;5.7;53.0;29.8;11.5;5.7;29.5;53.0;11.7
010504;AMAZONAS;LUYA;COLCAMAR;100.0;486.0;497.0;9.1;31.9;13.6;45.4;13.7;4.6;50.0;31.8
010505;AMAZONAS;LUYA;CONILA;100.0;441.0;437.0;15.6;37.5;31.3;15.6;12.5;34.4;43.7;9.4
010506;AMAZONAS;LUYA;INGUILPATA;100.0;398.0;369.0;33.3;33.3;16.7;16.7;50.0;33.3;0.0;16.7
010507;AMAZONAS;LUYA;LONGUITA;100.0;486.0;514.0;12.1;24.2;11.5;52.1;6.1;12.1;18.2;63.6
010508;AMAZONAS;LUYA;LONYA CHICO;100.0;484.0;481.0;13.5;6.5;39.7;40.3;6.8;26.5;26.8;40.0
010509;AMAZONAS;LUYA;LUYA;100.0;484.0;488.0;7.6;21.5;41.8;29.1;3.8;12.7;49.4;34.2
010510;AMAZONAS;LUYA;LUYA VIEJO;83.3;457.0;490.0;0.0;40.0;40.0;20.0;0.0;40.0;20.0;40.0
010511;AMAZONAS;LUYA;MARIA;100.0;563.0;555.0;0.0;0.0;33.3;66.7;0.0;0.0;50.0;50.0
010512;AMAZONAS;LUYA;OCALLI;98.7;481.0;495.0;8.1;25.3;34.7;31.9;1.4;17.4;46.7;34.5
010513;AMAZONAS;LUYA;OCUMAL;98.4;452.0;462.0;22.6;27.7;22.8;27.0;11.5;20.8;43.7;24.0
010514;AMAZONAS;LUYA;PISUQUIA;99.0;470.0;477.0;11.8;25.0;37.3;25.9;8.9;16.9;43.9;30.3
010515;AMAZONAS;LUYA;PROVIDENCIA;100.0;446.0;432.0;18.2;26.9;36.5;18.4;18.2;32.0;31.8;18.0
010516;AMAZONAS;LUYA;SAN CRISTOBAL;100.0;476.0;466.0;0.0;33.3;55.6;11.1;0.0;22.2;77.8;0.0
010517;AMAZONAS;LUYA;SAN FRANCISCO DEL YESO;100.0;484.0;465.0;0.0;12.5;50.0;37.5;0.0;50.0;12.5;37.5
010519;AMAZONAS;LUYA;SAN JUAN DE LOPECANCHA;100.0;473.0;549.0;16.7;16.7;50.0;16.7;0.0;16.7;33.3;50.0
010520;AMAZONAS;LUYA;SANTA CATALINA;96.4;442.0;443.0;11.0;36.1;43.2;9.7;11.0;16.7;61.0;11.2
010521;AMAZONAS;LUYA;SANTO TOMAS;100.0;473.0;495.0;6.4;27.0;44.4;22.2;0.0;27.0;42.8;30.2
010522;AMAZONAS;LUYA;TINGO;100.0;511.0;506.0;4.2;12.5;50.0;33.3;0.0;12.5;50.0;37.5
010523;AMAZONAS;LUYA;TRITA;92.7;473.0;462.0;5.8;28.2;35.5;30.5;8.3;21.5;48.0;22.3
